scene_id,scene_name,mask_seed,missing_rate,method_name,degree,lambda_reg,observed_count,x_min,x_max,x_mean,design_cond_raw,design_cond_scaled,polycal_fit_time_sec,a_0,a_1,a_2,a_3,a_4
15,fake_and_real_sushi,0,0.3,tucker_polycal_p2,2,1e-06,5689862,-0.1177518367767334,1.208797812461853,0.037179983664253805,60.341068900950226,5.301605666996082,0.27528679999522865,0.0002276532521864304,0.9915947485405284,0.015557814217629199,,
15,fake_and_real_sushi,0,0.3,tucker_polycal_p3,3,1e-06,5689862,-0.1177518367767334,1.208797812461853,0.037179983664253805,258.37331556180743,19.38196290566039,0.297881199978292,0.0010195257639240155,0.9475913076036461,0.20366599469951857,-0.17207015471881404,
15,fake_and_real_sushi,0,0.3,tucker_polycal_p4,4,1e-06,5689862,-0.1177518367767334,1.208797812461853,0.037179983664253805,1206.1306320953527,81.03459775010558,0.3684388000983745,0.0011060618647808957,0.9418265664572898,0.24885700835784014,-0.26763705642920116,0.05712826750992451
1,balloons,0,0.5,tucker_polycal_p2,2,1e-06,4063329,-0.09081963449716568,1.1154990196228027,0.14506119093268463,26.858100722282067,6.379107519331151,0.19173199986107647,0.0005164972549296173,0.9945824684499908,0.00808552072128312,,
1,balloons,0,0.5,tucker_polycal_p3,3,1e-06,4063329,-0.09081963449716568,1.1154990196228027,0.14506119093268463,135.54525348389342,25.91580036466078,0.2140301000326872,0.001871199923443958,0.9634937344632862,0.12200256402987587,-0.09323853253396867,
1,balloons,0,0.5,tucker_polycal_p4,4,1e-06,4063329,-0.09081963449716568,1.1154990196228027,0.14506119093268463,725.2615358438911,124.86645839611721,0.25839940016157925,0.002349776848029264,0.9469694794998168,0.2300346908189631,-0.3105245269937803,0.12755447832050792
2,beads,0,0.5,tucker_polycal_p2,2,1e-06,4063329,-0.26994019746780396,1.3395235538482666,0.12839437236814633,28.027385144350202,5.9281662200647105,0.19367569987662137,0.008341659055749356,0.8610414548439951,0.24627002107249862,,
2,beads,0,0.5,tucker_polycal_p3,3,1e-06,4063329,-0.26994019746780396,1.3395235538482666,0.12839437236814633,117.25559442190544,19.58882116910697,0.21315490012057126,0.017307687169984636,0.5514392987561563,1.5772000999805114,-1.224915152101082,
2,beads,0,0.5,tucker_polycal_p4,4,1e-06,4063329,-0.26994019746780396,1.3395235538482666,0.12839437236814633,474.893252510794,70.02837563727876,0.25867000012658536,0.019011957403966433,0.39138773021764,2.862428458728645,-3.975237065394813,1.6580290682909247
3,cd,0,0.5,tucker_polycal_p2,2,1e-06,4063329,-0.1931193321943283,1.1799447536468506,0.07308111716858562,34.112191812932494,5.032995350250483,0.19210699992254376,0.002505459841966407,0.9435120709383044,0.0936427185779583,,
